title,datetime,raw_txt
Two get three years jail for abusing minors,2018-09-08T13:11:57+05:30,"PANAJI: The Goa children’s court on Thursday sentenced Bonny D’Souza to three years imprisonment and fined him Rs 1 lakh under the Goa Children’s Act in a case involving the sexual abuse of a ten-year-old girl. 

 
 The incident occurred in 2011. The minor was on her way to church when the accused, 19 at the time, forced her on his scooter and took her to a   where he outraged her modesty. A medical examination at   concluded that there was evidence of physical assault and D’Souza was arrested in October 2011.
 
 The court sentenced D’Souza to another three years imprisonment for kidnapping, three years for outraging the modesty of the girl and one month for wrongful restraint of the minor. The sentences will run concurrently. 
 
  representing the D’Souza stated that he had already served time in jail in two other crimes and had an aged mother to look after. 
 
 The court’s president, Vandana Tendulkar, however, said the objective of awarding sentence is to protect society and to deter the criminal from achieving the objective to break the law, adding that if offences against children are taken lightly then it would not create a deterrent effect in the minds of criminals, who have a tendency of abusing children.
 
 In another case of sexual abuse, the court sentenced Rajaram Desai to three years imprisonment and fined him Rs 1 lakh under the Goa Children’s Act and Protection of Children from Sexual Offences Act.
 
 Desai was also sentenced to three years imprisonment for using criminal force to assault, using criminal force with an intent to disrobe, sexual harassment, and another three years imprisonment for criminal intimidation. The sentences will run concurrently.
 
 
"
Son of diamond merchant held for rape,2018-09-07T07:07:02+05:30,"MUMBAI: The 24-year-old son of a  , who allegedly under the pretext of marrying a woman raped her, filmed the act on his mobile, and later forced her to go along with his friend, was arrested by LT Marg police.

 Dharan Shah was held under IPC sections for cheating,  , outraging the modesty of a woman,   and issuing threats, followed by extortion. A police official said after the victim complained that he had allegedly recorded the sexual assault, they invoked Information Technology (IT) sections. 
 
 The victim said some persons   her outside the police station, where she had gone to complete the formalities, on Wednesday. “The accused is from a very influential family. I have been getting threats right from when I was at the police station registering the case. My case should be handled by a female officer or city crime branch,” she told TOI.
 
 She met Dharan last year when she used to work as a salesgirl at a jewellery shop and they fell in love. She said he promised marriage, and called her to his house and raped her on May 1, Dharan’s birthday. “The act was recorded. Later, he made a video call and told her to strip or he would upload their video on social media,” said a police officer.
 
 The officer added that he also took around Rs 4 lakh from her, under the pretext of investing in some business, a laptop and headphones. In August, he called her to a coffee outlet at Nariman Point and told her that he needed money as he intended to go to Canada. When she said she did not have the money, he threatened her, and told to go with his friend, Rahi. 
 
 She said despite her complaint, police have not called his friend or recorded his statement. She said they had not recovered the mobile phone too. “I only want my case to be transferred to crime branch’s special cell for crime against women,” she added.
 
 
"
Ghaziabad: Schoolgirl cooks up rape story to escape mother's ire,2018-09-06T17:06:55+05:30,"GHAZIABAD: The police in Ghaziabad have given clean chit to a   in a rape case where it was found that a class 12 girl had fabricated a case against him just to escape her  . 

 
  During the investigation it was found by the police that the girl had liquor with her Facebook friend in a park. As she did not want her family to know about this so she cooked up a rape story. While coming back from the coaching centre on Tuesday the girl hanged out with her Facebook friend in a park but told her mother that she was raped. Acting on her complaint, the police arrested the coaching centre owner but he was given clean chit on Wednesday after the case turned out to be fake. 
 
 The police cracked the case with the help of CCTV footage in which the girl was seen in an inebriated condition. Her medical reports too could not confirm rape. After the clean chit the coaching centre owner burst into tears and said that it was a teacher's day gift to him which he cannot forget. 
 
 Indirapuraam SHO   told that the girl got into friendship with a guy living in   through Facebook. They used to meet very often.
 
 ""In the park on Tuesday both the girl and the boy had liquor and pizza after which she fell there out of inebriation. The guy dropped her outside her home on his scooty an hour late than her usual time. So she fabricated rape story to escape her mother's scolding,"" said the SHO. 
 
 
 
 
"
Woman accuses father-in-law of rape,2018-09-07T04:40:25+05:30,"AHMEDABAD: A woman in early forties was rescued from   near Ellisbridge on September 5 by Good Samaritans and counsellors of 181 Abhayam helpline. The woman, who did not wish to go to her husband or father’s residences, was sent to observation home.

 The woman claimed that she was raped three times by her father-in-law and she did not get support of her husband, mother-in-law or even her mother when she raised the issue. Seeing no solution in sight, she decided to end her life.
 
 “The woman is married for 16 years and has three daughters. According to her narrative, it all started two years ago when she was taking car   from her father-in-law. At that time, she felt the advances but ignored the warning signs. As per her claim, it then escalated and her father-in-law started visiting her when she was alone at home. When she resisted the advances, he allegedly threatened to get his son married to someone else as she could not give a son,” said a 181 counsellor.
 
 According to the woman, she was raped by the father-in-law three times over a period of two years. When she raised the issue with her husband and mother-in-law, they did not believe her and instead subjected her to harassment. She then approached police and gave an application of complaint. 
 
 The woman then went to her mother’s residence where she was allegedly forced to revoke the complaint and was pushed to go back and make truce.
 
 “We have counselled her to seek legal recourse and not to lose hope. We will approach police authorities as well with a fresh complaint,” said the counsellor.
 
 
"
Deputy I-T commissioner held for raping minor help,2018-09-07T05:36:50+05:30,"MUMBAI: A deputy commissioner of income-tax was arrested on Thursday on charges of raping his minor domestic help. The officer, booked under sections of the  , was remanded in police custody till September 10. 

 The IRS officer, who stays in the jurisdiction of Gamdevi police station, has been posted in the city for three years. ""The alleged incident took place in February 2017. The rape victim who is 17 now approached the police last month and lodged a complaint. During investigation, we arrested the accused,"" said a police officer. The help used to stay in the servants' quarters of the accused's flat at the time of the alleged assault.
 
 The officer is locked in a legal   with his wife for divorce and the couple stays separately. They had got married in 2013 and have a one-and-a-half-year-old child.
 
 Asked if the family dispute led to the filing of the case, a police officer said: ""We got a complaint and acted on it. Further probe is on. It's too premature to comment at this juncture.""
 
 Soon after the FIR was registered, the girl was sent for medical examination. A final report is awaited. The police took the girl before a magistrate, where her statement was registered under section 164 of CrPC. It means this statement is admissible in court as evidence against the accused. 
 
 The police have booked the officer under section 8 (punishment for sexual assault) and section 12 (punishment for sexual harassment) of the Pocso Act, which prescribes a maximum punishment of three years in jail. 
 
 
"
"Delhi: Man kills elderly woman, kin suspect rape",2018-09-06T19:17:17+05:30,"NEW DELHI: An elderly woman who could barely walk as she was handicapped was brutally murdered on Thursday by an unidentified man who smashed her face with bricks before making an escape, police said.

 
 The gory incident took place before dawn, the family said. Sarori, 70, was found dead at a vacant plot in Sainik Enclave at Ranhola in west Delhi.
 
 ""Sarori was in the nude and her face was crushed after being smashed repeatedly with bricks. We are waiting for the autopsy report to ascertain whether she was sexually assaulted,"" Additional Deputy Commissioner of Police Rajender Singh Sagar told IANS.
 
 A distraught Irfan, son of the deceased, told IANS that his mother could barely walk.
 
 ""My mother had been sleeping outside our house for the last eight years. At 3 am I found she was not on the bed. I raised an alarm and the family started looking for her. We found her clothes outside the plot and later found her nude body.
 
 ""We gave a CCTV footage to police in which a shirtless man is seen coming out of the plot. He may be my mother's killer,"" Irfan said.
 
"
"Minor delivers baby, schoolmate booked for rape under POCSO",2018-09-06T10:38:35+05:30,"JAIPUR: After a 15-year-old girl gave birth to a child in a city hospital on Wednesday, the   police registered an FIR against a class XI boy, for raping the minor.

 Kotwali SHO, Ashok   said, that the boy and the girl went to the same school. The boy called her to his room one day and raped her. The family did not file any case until the minor girl became pregnant and gave birth. “The hospital staff informed us about the case, following which, a team was sent to the spot. We enquired about her age and found that she is a minor, and the boy is also a minor,” Khatri said.
 
 Police said that the girl was the student of Class IX when she was raped. “We have booked the boy under the Protection of Children from Sexual Offences ( ) Act. We would record the girl’s statement too,” the official said. Police said that the girl hails from a different state, whereas the boy accused of raping her, lives with his mother.
 
 
"
14-year-old gang-raped by helps in Meerut,2018-09-07T05:52:58+05:30,"MEERUT: In a crime that has sent shockwaves across   of  , a 14-year-old girl was allegedly gang-raped and murdered by two domestic helps, both of whom were employed with the victim’s family for the past several years. Her minor brother, sole witness in the case, was also brutally attacked by the accused. Initially thought to be a case of robbery gone horribly wrong, the brother’s notes to police from the hospital bed brought the crime to light. The 10-year-old boy’s condition continues to be critical. Police have arrested one accused while the other is on the run. 

 The crime occurred in   city on Wednesday when the sister-brother duo was under the   of the two accused, identified as Ankur and Sanni, both in their 20s. While Ankur had been working with the family for the past six years, Sanni was employed nearly four years ago. Their father, who owns a dairy farm, was away for work while the mother and an elder sibling had gone out to visit relatives. 
 
 According to police, the girl had come home early from school on Wednesday afternoon on account of Teachers’ Day celebrations. Soon after she reached home, the two men attacked the minor, taking turns to rape her. They later strangulated her after she tried to raise an alarm and hid the body in a godown on the house’s ground floor. The offenders also thrashed her brother, who had witnessed the crime, and slit his throat. In order to avoid getting caught, the duo ransacked the house and created a false scene of robbery. 
 
 “The girl’s brother has received grievous injuries on his neck. He is not able to speak but wrote brief notes to us, hinting at the role of the two domestic helps,” said superintendent of police (SP), Hapur, Sankalp Sharma.
 
 The postmortem report states six injury marks on the body and strangulation to be the cause of death. “We have sent the girl’s viscera to a laboratory to establish rape. The injury marks clearly indicate that the girl had put up a fight before being killed. Her body was found in a semi-nude condition from the godown,” added Sharma.
 
 Meanwhile, Ram Kumar, inspector   (  range) visited the spot on Thursday to take stock of the situation. He assured the victim’s family that the second accused will be nabbed soon. 
 
 
"
60-year-old alleges gangrape by robbers,2018-09-07T07:19:00+05:30,"GHAZIABAD: A 60-year-old woman has accused two   of gang-raping her during a robbery at her house on Tuesday night. The woman has been sent for a medical test while the police added Section 376 D (gang  ) to the FIR registered in connection with the robbery a day earlier.

 Police officials, however, are not convinced by the sequence of events narrated by the woman. According to them, she and her husband, a daily wage labourer with a sugarcane crusher are frequently changing their statements.
 
 “It will be too early to reach a conclusion in the matter. It is still being investigated. However, during our initial investigation, several contradictions in the complainant’s statement have come to light. They had taken loans from several people in the village and has not returned them so far,” said an officer.
 
 Apart from the elderly woman, her daughter-in-law was also present in the house at the time of the robbery, but she was not attacked. Moreover, initially the complainant had accused two persons of the village of committing the crime, but they were found to have no connection with the case. They named two more persons, who have been detained and are being interrogated. 
 
 In the FIR, the complainant (woman’s husband) alleged that five armed men barged into his accommodation on Tuesday night and robbed him of Rs 1 lakh in cash, which was given to him by the contractors of the sugarcane crusher to hire more labourers for the unit, along with some jewellery. They also allegedly took his wife to another room and gang-raped her. At the time of the incident, his son, daughter-in-law and two grandchildren were also present. The robbers had also reportedly beaten up the family members.
 
 
"
Doctor accused of rape denied bail,2018-09-07T08:23:01+05:30,"VADODARA: The sessions court on Thursday   to Dr Pratik Joshi, who is accused of raping a married woman at his clinic in Angadh village near city.

 Joshi was denied bail earlier too, but he sought applied again after police submitted a chargesheet against him in the court. Joshi had pleaded for bail claiming that he is innocent and he has been booked in the case only on suspicion. He also submitted that all allegations against him are false and baseless as he has not raped anyone.
 
 Police, however, opposed Joshi’s bail by submitting an affidavit. Police told the court that if Joshi is released on bail, there could be a threat to complainant and witnesses. Cops also stated that Joshi has committed a grievous offence by raping a married woman and if released on bail, it will set a wrong principle in society. The court upheld the arguments of the police and turned down Joshi’s bail application.
 
 Joshi and his compounder Dilip Gohil were booked at Nandesari police station in June after videos of the former getting intimate with several women went viral on social media. Joshi was nabbed by the police from Mahisagar after few days and gave complaint of abduction and extortion against Gohil and five others.
 
 
"
